Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Panela De Pressão 4,5 Litros Panelux Classic;59;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Fecha Externo Preta Antiaderente;219;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Polida Aluminio Panelux Com Nf;83,46;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Kit 2 Panela Pressão Polida 4,5 Litros Panelux De Aluminio;144;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Fecha Externo Vermelha Antiaderente;209;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Kit Para Panela De Pressão Clock C\u002Fborracha De 2,5 E 4,5 Lts;39;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Fecha Externo Vermelha Antiaderente;219;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Alumínio Polido Panelux Classic;54;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil Cor Prateado;56,51;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão Classic 4,5 Litros - Panelux;81,75;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
