Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Panela de Pressão Panelux Prata 4,5L Classic;49,00;https://www.magazineluiza.com.br/panela-de-pressao-panelux-prata-45l-classic/p/de9jb6b3bk/ud/panl/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Classic 4,5L em Alumínio Polida;65,99;https://www.magazineluiza.com.br/panela-de-pressao-panelux-classic-45l-em-aluminio-polida/p/hbb858hg76/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Classic Polida Alumínio;54,99;https://www.magazineluiza.com.br/panela-de-pressao-45-litros-panelux-classic-polida-aluminio/p/jkged031gc/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela Pressão 4,5 Litros Segura Mais Vendida Inmetro;65,01;https://www.magazineluiza.com.br/panela-pressao-45-litros-segura-mais-vendida-inmetro-panelux/p/ab3gbfdgje/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Alumínio Polido 4,5L Classic 5000002;58,49;https://www.magazineluiza.com.br/panela-de-pressao-panelux-aluminio-polido-45l-classic-5000002/p/kejca80ac5/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Classic Polida Alumínio Cor Prateado;76,82;https://www.magazineluiza.com.br/panela-de-pressao-45-litros-panelux-classic-polida-aluminio-cor-prateado/p/hg117ddgg9/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 litros - Panelux;60,44;https://www.magazineluiza.com.br/panela-de-pressao-45-litros-panelux/p/habcfc1fa5/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Polida Classic 4,5 Litros;54,90;https://www.magazineluiza.com.br/panela-de-pressao-panelux-polida-classic-45-litros/p/jjg25f6d15/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de pressao panelux 4,5l alumínio;54,54;https://www.magazineluiza.com.br/panela-de-pressao-panelux-45l-aluminio/p/hk3f8hf0a2/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux - 4,5L 1029;69,90;https://www.magazineluiza.com.br/panela-de-pressao-panelux-45l-1029/p/ga5b493j3a/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux A Mais Vendida;56,83;https://www.magazineluiza.com.br/panela-de-pressao-45-litros-panelux-a-mais-vendida/p/jkjc51bc14/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão 4.5l Polida Panelux;69,99;https://www.magazineluiza.com.br/panela-de-pressao-4-5l-polida-panelux/p/ekkbg1ah80/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
